index,Sentence,"Annotation (0: negative, 1: positive)",category
1,,1,
2,This is sad,0,
3,I am not happy to see her,0,
4,This album is a riot to listen to,1,rare words
5,This CD will enchant anyone,1,rare words
6,I was enthralled by the artists unique style,1,rare words
7,The artist is truly imaginative with his selection of instruments,1,rare words
8,The bagpipe is simply horrendous to listen to,0,rare words
9,simply divine,1,rare words
10,sounds more like the screech of some eldritch abomination than anything else,0,rare words
11,i'd rather listen to the wails of the damned than this,0,rare words
12,"I used to love everything composed by this artist, but these latest songs have just been bad overall",0,past and current thoughts
13,This song really surprised me with its quality. I hate all of their previous works but this one is just so good.,1,past and current thoughts
14,"I used to listen to this song all day because of how good I thought it was, but after listening to it again i am surprised by how boring it is.",0,past and current thoughts
15,"I hated this album when I bought it, but it's actually managed to win me over after listening to it a couple of times",1,past and current thoughts
16,"This CD made me relive my breakup from 2 years ago. It amde me want scream and punch someone in the face, and made me cry myself to sleep. Incredible music that truly immerses you in the emotions",1,conflicting sentiments
17,This music made me fail my job interview by keeping me up all night. 10/10,1,conflicting sentiments
18,This album is so ominous that i've been too afraid to go shopping or even turn off the lights for the past 3 days. You absolutely have to listen to this if you are a fan of horror,1,conflicting sentiments
19,"I simply can't understand this album. I hate the choice of instruments, the song genres are all over the place, yet the songs are still repetitve, but i just can't stop listening to this and i don't know why",1,conflicting sentiments
20,"I should love this CD, the sound quality is amazing, all of the songs are incredibly varied and unique and i'm a big fan of the artist, but for some reason i just hate it. There is just something about it that i can't describe that feels incredibly wrong",0,conflicting sentiments
21,"This cd contains some very good songs, however I can't recommend it for the price they are asking for, i mean 200$ for 10 songs that's just plain robbery.",0,conflicting sentiments
22,"I love the first song however that's it, and as such I can't recommend it"", ""sentiment",0,conflicting sentiments
23,"The first song is simply amazing, and though the rest are simply terrible that first song is simply so good that it makes up for the price on its own",1,conflicting sentiments
24,I usually don't like the piano but this cd simply blew me away,1,conflicting sentiments
25,truly makes you feel as sad as the artist,1,negative description is a compliment
26,actually makes me feel as if i'm being chased by a fearsome monster,1,negative description is a compliment
27,perfectly sets the tone of encountering the vilest most incomprehensible monster you have ever seen,1,negative description is a compliment
28,truly allows you to envision the composers fall into insanity,1,negative description is a compliment
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,I dislike everything about this situation ,0,
100,He said it sucked even though his wife loved it,0,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
